Product Id,subcategory,title,price,popularity
2439,mobile,Samsung  Galaxy S4,14999,31466
3626,mobile,Apple iPhone 4S 8GB,12368,30996
3633,mobile,Samsung Galaxy Grand 2,11466,28731
4340,mobile,Apple iPhone 6,40999,46198
4376,mobile,Samsung Galaxy Core 2,5907,36082
4804,mobile,Samsung Galaxy Grand Prime,9286,45775
5042,mobile,Microsoft Lumia 535,6874,29965
5266,mobile,Micromax Canvas Nitro A311,7769,44273
5530,mobile,Samsung Galaxy Grand Max,12950,48876
5629,mobile,Samsung Galaxy E7,15763,40345
6259,mobile,Micromax Canvas Juice 2,7085,28649
6766,mobile,Lenovo A6000 Plus,7499,32727
6834,mobile,Micromax Canvas Spark,4999,79214
